Year,E ,C ,E ,C ,E ,C ,E ,C ,E ,C ,E ,C ,C 
1993,0,0,159955,87977,46375,12843,153,79,18064,6566,415,81,227
1994,0,0,163968,92606,44788,13250,1373,574,12588,4883,303,25,523
1995,0,0,129598,69435,54979,12778,1776,559,2910,1639,828,180,562
1996,0,0,103654,52298,40290,14121,2087,931,5830,3553,510,182,185
1997,0,0,96383,59325,30493,16663,3464,1941,8720,5673,464,215,752
1998,0,0,106568,50167,51817,15089,4724,2858,10586,5039,1008,406,1176
1999,0,0,80958,32886,54269,13294,5512,4446,23247,7865,1756,469,1157
2000,0,0,79311,45216,33585,18759,8090,4382,18152,7809,737,204,4868
2001,13056,5162,102219,54775,72261,18201,7445,5086,41920,20060,1438,238,15612
2002,34889,10398,103920,45401,96273,14370,943,3238,78018,31773,613,138,10258
2003,43289,14548,101227,36187,71006,15551,11098,4101,74460,28328,1314,262,11595
2004,15889,4033,76824,30936,55861,14540,13757,3030,49979,19535,1049,166,9193
2005,16896,3681,65081,25712,15798,12284,13356,2515,38536,12229,2397,557,5244
2006,588,969,56525,21432,27472,7892,11786,3220,38134,12375,234,121,10027
2007,12226,2624,45972,20514,10548,6037,9672,3753,22244,9498,2689,436,6424
2008,11518,2984,44547,21375,3442,4256,10255,3017,12544,4198,6322,1369,9231
2009,10536,3435,41517,21492,18364,7615,10686,4032,13904,6366,5141,852,11731
2010,11905,3590,47807,21017,25816,10477,8976,3139,24976,10396,8879,1480,11400
2011,37384,9983,52194,18682,25323,7814,9514,3192,21065,9422,7359,1233,7616
2012,55508,14462,55587,22214,20338,8286,8806,3589,20587,11924,5822,986,14237
2013,70411,18128,48825,19097,31702,10248,9847,3303,19198,11722,10765,2127,9754
2014,78851,24282,40735,17235,22695,9132,10572,3291,17047,10435,11276,2168,6874
2015,99131,25559,35290,16046,22394,9879,13661,4509,15334,11274,13868,3089,10924
2016,66405,25756,30910,13242,23235,9457,13677,3954,20941,11432,11313,2372,6236
2017,82461,27341,27961,10617,27540,10525,11641,3425,24164,11811,15266,3266,6085
2018,83023,27024,24608,8686,19443,8474,13258,4300,31735,9985,13607,2876,7996
2019,65298,18652,18472,8342,17655,8556,12620,4209,34930,12170,11117,2013,6839
2020,56607,15620,17987,7351,23284,10427,14253,3906,43643,11778,9384,1913,6815
2021,84812,27299,16165,6593,19704,9699,15748,5092,28693,8032,8123,1690,4770
2022,75160,26649,12402,5385,18304,9208,16449,5541,31431,9875,7214,1402,1280
