Year,YFT,SKJ,BET
2000,23855,68,47605
2001,29608,1214,68755
2002,25531,261,74424
2003,25174,634,59776
2004,18779,713,43483
2005,11946,231,40694
2006,10210,224,31770
2007,8067,238,29876
2008,9820,1185,26208
2009,10444,1584,31422
2010,8339,1815,37090
2011,8048,1384,32317
2012,12954,2381,36167
2013,10783,2024,36170
2014,8649,194,35356
2015,10622,187,41709
2016,9801,214,35656
2017,10647,185,35650
2018,12576,1221,29787
2019,11921,263,27787
2020,11584,269,25959
2021,9390,225,21705
2022,6757,201,21106
2023,7187,212,24601
2024,,,17640
